@relation 'forecast_data_06-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R1-2,9'

@attribute 'Chance Precipitation (\%)' numeric
@attribute Precipitation numeric
@attribute 'Wind Speed' numeric
@attribute 'Wind Gust' numeric
@attribute Visibility numeric
@attribute 'Cloud Cover' numeric
@attribute Conditions {Clear,Overcast,'Partially cloudy','Rain, Overcast','Rain, Partially cloudy'}

@data
14.3,0,2.2,4.3,24.1,8,Clear
14.3,0,2.9,5.8,24.1,8,Clear
9.5,0,4,6.4,24.1,10.3,Clear
9.5,0,5,7,24.1,12.7,Clear
9.5,0,6.1,7.6,24.1,15,Clear
9.5,0.1,6.6,7.8,23.6,14.7,Clear
9.5,0.2,7.1,8,23.2,14.3,Clear
9.5,0.3,7.6,8.3,22.7,14,Clear
71.4,1.57,7.8,8.5,17,37.7,'Rain, Partially cloudy'
71.4,2.83,8,8.8,11.4,61.3,'Rain, Partially cloudy'
71.4,4.1,8.3,9,5.7,85,'Rain, Overcast'
71.4,3.67,7.9,9.8,11.8,81,'Rain, Overcast'
71.4,3.23,7.6,10.7,18,77,'Rain, Overcast'
71.4,2.8,7.2,11.5,24.1,73,'Rain, Partially cloudy'
76.1,1.87,7.3,12,24.1,82,'Rain, Overcast'
76.1,0.93,7.4,12.5,24.1,91,'Rain, Overcast'
76.1,0,7.6,13,24.1,100,'Rain, Overcast'
76.1,0,6.6,10.8,24.1,100,'Rain, Overcast'
76.1,0,5.6,8.6,24.1,100,'Rain, Overcast'
76.1,0,4.7,6.5,24.1,100,'Rain, Overcast'
23.7,0,3.5,5,24.1,72.7,'Partially cloudy'
23.7,0,2.3,3.6,24.1,45.3,'Partially cloudy'
23.7,0,1.1,2.2,24.1,18,Clear
23.7,0,3.5,6.5,24.1,24.7,Clear
23.7,0,5.9,10.8,24.1,31.3,'Partially cloudy'
23.7,0,8.3,15.1,24.1,38,'Partially cloudy'
61.9,0,8.4,13.9,24.1,38.7,'Rain, Partially cloudy'
